Date,High,Low,Open,Close
2013-04-08,0,0,0,0
2013-04-11,0,0,0,0
2013-04-14,0,0,0,0
2013-04-17,0,0,0,0
2013-04-20,0,0,0,0
2013-04-23,0,0,0,0
2013-04-26,0,0,0,0
2013-04-29,0,0,0,0
2013-05-02,0,0,0,0
2013-05-05,0,0,0,0
2013-05-08,0,0,0,0
2013-05-11,0,0,0,0
2013-05-14,0,0,0,0
2013-05-17,0,0,0,0
2013-05-20,0,0,0,0
2013-05-23,0,0,0,0
2013-05-26,0,0,0,0
2013-05-29,0,0,0,0
2013-06-01,0,0,0,0
2013-06-04,0,0,0,0
2013-06-07,0,0,0,0
2013-06-10,0,0,0,0
2013-06-13,0,0,0,0
2013-06-16,0,0,0,0
2013-06-19,0,0,0,0
2013-06-22,0,0,0,0
2013-06-25,0,0,0,0
2013-06-28,0,0,0,0
2013-07-01,0,0,0,0
2013-07-04,0,0,0,0
2013-07-07,0,0,0,0
2013-07-10,0,0,0,0
2013-07-13,0,0,0,0
2013-07-16,0,0,0,0
2013-07-19,0,0,0,0
2013-07-22,0,0,0,0
2013-07-25,0,0,0,0
2013-07-28,0,0,0,0
2013-07-31,0,0,0,0
2013-08-03,0,0,0,0
2013-08-06,0,0,0,0
2013-08-09,0,0,0,0
2013-08-12,0,0,0,0
2013-08-15,0,0,0,0
2013-08-18,0,0,0,0
2013-08-21,0,0,0,0
2013-08-24,0,0,0,0
2013-08-27,0,0,0,0
2013-08-30,0,0,0,0
2013-09-02,0,0,0,0
2013-09-05,0,0,0,0
2013-09-08,0,0,0,0
2013-09-11,0,0,0,0
2013-09-14,0,0,0,0
2013-09-17,0,0,0,0
2013-09-20,0,0,0,0
2013-09-23,0,0,0,0
2013-09-26,0,0,0,0
2013-09-29,0,0,0,0
2013-10-02,0,0,0,0
2013-10-05,0,0,0,0
2013-10-08,0,0,0,0
2013-10-11,0,0,0,0
2013-10-14,0,0,0,0
2013-10-17,0,0,0,0
2013-10-20,0,0,0,0
2013-10-23,0,0,0,0
2013-10-26,0,0,0,0
2013-10-29,0,0,0,0
2013-11-01,0,0,0,0
2013-11-04,0,0,0,0
2013-11-07,0,0,0,0
2013-11-10,0,0,0,0
2013-11-13,0,0,0,0
2013-11-16,0,0,0,0
